,CHR_PCODE,CHR_SYS_SAMPLE_CDE,CHR_SAMPLE_DEL_GRP,CHR_LAB_ANAL_METHOD_NAME,CHR_ANALYSIS_DATE,CHR_TEST_TYPE,CHR_LAB_MATRIX_CDE,CHR_DILUTION_FACTOR,CHR_PREP_METHOD,CHR_PREP_DATE,CHR_LAB_NAME_CDE,CHR_QC_LEVEL,CHR_LAB_SAMPLE_ID,CHR_SUBSAMPLE_AMT,CHR_SUBSAMPLE_AMT_UNIT,CHR_FINAL_VOLUME,CHR_FINAL_VOLUME_UNIT,CHR_CAS_RN,CHR_RESULT_VALUE,CHR_RESULT_TYPE_CDE,CHR_REPORTABLE_RESULT,CHR_DETECT_FLAG,CHR_QLFR_SRC,CHR_LAB_QUAL,CHR_VALIDATED_YN,CHR_VALIDATION_DATE,CHR_VALIDATOR_QUAL,CHR_VALIDATOR_QUAL_EXPLN,CHR_METHOD_DETECT_LIMIT,CHR_REPORTING_DETECT_LIMIT,CHR_QUANTITATION_LIMIT,CHR_DETECTION_LIMIT_UNIT,CHR_RESULT_COMMENT,CHR_QC_ORIG_CONC,CHR_QC_SPIKE_ADDED,CHR_QC_SPIKE_MEASURED,CHR_QC_SPIKE_RECOVERY,CHR_QC_DUP_ORIG_CONC,CHR_QC_DUP_SPIKE_ADDED,CHR_QC_DUP_SPIKE_MEASURED,CHR_QC_DUP_SPIKE_RECOVERY,CHR_QC_RPD,CHR_QC_SPIKE_LCL,CHR_QC_SPIKE_UCL,CHR_QC_RPD_CL,CHR_QC_SPIKE_STATUS,CHR_QC_DUP_SPIKE_STATUS,CHR_QC_RPD_STATUS
383,121,13-SAW-18.4-08262020-W,R2007848,E365.1,8/31/2020 15:47,initial,WS,1,METHOD,8/29/2020 11:39,ALSRNY,quant,R2007848-001,20,mL,20,mL,7723-14-0,0.0742,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0036,NA,0.005,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
384,162,13-SAW-18.4-08262020-W,R2007848,E180.1,8/27/2020 10:10,initial,WS,1,,,ALSRNY,quant,R2007848-001,NA,,NA,,TURB,1.6,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.06,NA,1,ntu,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
385,6,13-SAW-10.8-08262020-W,R2007848,SM 2320 B,8/30/2020 20:02,initial,WS,1,,,ALSRNY,quant,R2007848-002,0,mL,NA,,ALK,106,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
386,98,13-SAW-10.8-08262020-W,R2007848,E350.1,8/30/2020 16:34,initial,WS,1,,,ALSRNY,quant,R2007848-002,10,mL,10,mL,7664-41-7,0.258,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
387,27,13-SAW-10.8-08262020-W,R2007848,E300.0,9/4/2020 23:05,initial,WS,50,,,ALSRNY,quant,R2007848-002,10,mL,10,mL,16887-00-6,144,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
388,31,13-SAW-10.8-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,10,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-002,750,mL,750,mL,479-61-8,8.5,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.53,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
389,66,13-SAW-10.8-08262020-W,R2007848,SM2340B,9/8/2020 20:30,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-002,0,mL,NA,,HARD,173,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
390,100,13-SAW-10.8-08262020-W,R2007848,Calculation,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-002,0,mL,NA,,14797-55-8,0.334,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
391,101,13-SAW-10.8-08262020-W,R2007848,E353.2,9/1/2020 20:13,initial,WS,1,,,ALSRNY,quant,R2007848-002,10,mL,10,mL,NO3NO2N,0.347,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
392,102,13-SAW-10.8-08262020-W,R2007848,E353.2,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-002,10,mL,10,mL,14797-65-0,0.013,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.007,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
393,103,13-SAW-10.8-08262020-W,R2007848,Calculation,9/4/2020 13:21,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-002,0,mL,NA,,7727-37-9,1.49,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
394,99,13-SAW-10.8-08262020-W,R2007848,E351.2,9/4/2020 13:21,initial,WS,1,METHOD,9/3/2020 13:42,ALSRNY,quant,R2007848-002,20,mL,20,mL,KN,1.15,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.1,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
395,121,13-SAW-10.8-08262020-W,R2007848,E365.1,8/31/2020 16:14,initial,WS,5,METHOD,8/29/2020 11:39,ALSRNY,quant,R2007848-002,20,mL,20,mL,7723-14-0,0.12,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.018,NA,0.025,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
396,162,13-SAW-10.8-08262020-W,R2007848,E180.1,8/27/2020 10:10,initial,WS,1,,,ALSRNY,quant,R2007848-002,NA,,NA,,TURB,4.2,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.06,NA,1,ntu,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
397,6,13-SAW-7.9-08262020-W,R2007848,SM 2320 B,8/30/2020 20:08,initial,WS,1,,,ALSRNY,quant,R2007848-003,0,mL,NA,,ALK,118,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
398,98,13-SAW-7.9-08262020-W,R2007848,E350.1,8/30/2020 16:35,initial,WS,1,,,ALSRNY,quant,R2007848-003,10,mL,10,mL,7664-41-7,0.313,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
399,27,13-SAW-7.9-08262020-W,R2007848,E300.0,9/4/2020 23:11,initial,WS,50,,,ALSRNY,quant,R2007848-003,10,mL,10,mL,16887-00-6,149,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
400,31,13-SAW-7.9-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,4,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-003,1048,mL,1048,mL,479-61-8,2.14,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.15,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
401,66,13-SAW-7.9-08262020-W,R2007848,SM2340B,9/8/2020 20:33,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-003,0,mL,NA,,HARD,195,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
402,100,13-SAW-7.9-08262020-W,R2007848,Calculation,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-003,0,mL,NA,,14797-55-8,0.507,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
403,101,13-SAW-7.9-08262020-W,R2007848,E353.2,9/1/2020 20:14,initial,WS,1,,,ALSRNY,quant,R2007848-003,10,mL,10,mL,NO3NO2N,0.55,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
404,102,13-SAW-7.9-08262020-W,R2007848,E353.2,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-003,10,mL,10,mL,14797-65-0,0.043,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.007,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
405,103,13-SAW-7.9-08262020-W,R2007848,Calculation,9/4/2020 13:22,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-003,0,mL,NA,,7727-37-9,1.32,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
406,99,13-SAW-7.9-08262020-W,R2007848,E351.2,9/4/2020 13:22,initial,WS,1,METHOD,9/3/2020 13:42,ALSRNY,quant,R2007848-003,20,mL,20,mL,KN,0.77,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.1,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
407,121,13-SAW-7.9-08262020-W,R2007848,E365.1,8/31/2020 15:51,initial,WS,1,METHOD,8/29/2020 11:39,ALSRNY,quant,R2007848-003,20,mL,20,mL,7723-14-0,0.0957,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0036,NA,0.005,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
408,162,13-SAW-7.9-08262020-W,R2007848,E180.1,8/27/2020 10:10,initial,WS,1,,,ALSRNY,quant,R2007848-003,NA,,NA,,TURB,3.7,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.06,NA,1,ntu,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
409,6,13-SAW-4.8-08262020-W,R2007848,SM 2320 B,8/30/2020 20:14,initial,WS,1,,,ALSRNY,quant,R2007848-004,0,mL,NA,,ALK,162,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
410,98,13-SAW-4.8-08262020-W,R2007848,E350.1,8/30/2020 16:37,initial,WS,1,,,ALSRNY,quant,R2007848-004,10,mL,10,mL,7664-41-7,0.052,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
411,27,13-SAW-4.8-08262020-W,R2007848,E300.0,9/4/2020 23:17,initial,WS,50,,,ALSRNY,quant,R2007848-004,10,mL,10,mL,16887-00-6,215,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
412,31,13-SAW-4.8-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,1,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-004,1020,mL,1020,mL,479-61-8,1.48,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.039,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
413,66,13-SAW-4.8-08262020-W,R2007848,SM2340B,9/8/2020 20:36,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-004,0,mL,NA,,HARD,279,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
414,100,13-SAW-4.8-08262020-W,R2007848,Calculation,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-004,0,mL,NA,,14797-55-8,0.538,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
415,101,13-SAW-4.8-08262020-W,R2007848,E353.2,9/1/2020 20:16,initial,WS,1,,,ALSRNY,quant,R2007848-004,10,mL,10,mL,NO3NO2N,0.552,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
416,102,13-SAW-4.8-08262020-W,R2007848,E353.2,8/27/2020 22:19,initial,WS,1,,,ALSRNY,quant,R2007848-004,10,mL,10,mL,14797-65-0,0.014,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.007,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
417,103,13-SAW-4.8-08262020-W,R2007848,Calculation,9/4/2020 13:23,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-004,0,mL,NA,,7727-37-9,1.57,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
418,99,13-SAW-4.8-08262020-W,R2007848,E351.2,9/4/2020 13:23,initial,WS,1,METHOD,9/3/2020 13:42,ALSRNY,quant,R2007848-004,20,mL,20,mL,KN,1.01,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.1,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
419,121,13-SAW-4.8-08262020-W,R2007848,E365.1,8/31/2020 15:52,initial,WS,1,METHOD,8/29/2020 11:39,ALSRNY,quant,R2007848-004,20,mL,20,mL,7723-14-0,0.0771,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0036,NA,0.005,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
420,162,13-SAW-4.8-08262020-W,R2007848,E180.1,8/27/2020 10:10,initial,WS,1,,,ALSRNY,quant,R2007848-004,NA,,NA,,TURB,3.3,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.06,NA,1,ntu,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
421,6,13-SAW-0.2-08262020-W,R2007848,SM 2320 B,8/30/2020 20:19,initial,WS,1,,,ALSRNY,quant,R2007848-005,0,mL,NA,,ALK,155,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
422,98,13-SAW-0.2-08262020-W,R2007848,E350.1,8/30/2020 16:41,initial,WS,1,,,ALSRNY,quant,R2007848-005,10,mL,10,mL,7664-41-7,0.018,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
423,27,13-SAW-0.2-08262020-W,R2007848,E300.0,9/4/2020 23:29,initial,WS,50,,,ALSRNY,quant,R2007848-005,10,mL,10,mL,16887-00-6,210,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
424,31,13-SAW-0.2-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,4,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-005,1022,mL,1022,mL,479-61-8,3.46,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.16,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
425,66,13-SAW-0.2-08262020-W,R2007848,SM2340B,9/8/2020 20:58,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-005,0,mL,NA,,HARD,264,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
426,100,13-SAW-0.2-08262020-W,R2007848,Calculation,8/27/2020 22:20,initial,WS,1,,,ALSRNY,quant,R2007848-005,0,mL,NA,,14797-55-8,0.533,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
427,101,13-SAW-0.2-08262020-W,R2007848,E353.2,9/1/2020 20:17,initial,WS,1,,,ALSRNY,quant,R2007848-005,10,mL,10,mL,NO3NO2N,0.543,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
428,102,13-SAW-0.2-08262020-W,R2007848,E353.2,8/27/2020 22:20,initial,WS,1,,,ALSRNY,quant,R2007848-005,10,mL,10,mL,14797-65-0,0.01,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.007,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
429,103,13-SAW-0.2-08262020-W,R2007848,Calculation,9/4/2020 13:24,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-005,0,mL,NA,,7727-37-9,0.95,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
430,99,13-SAW-0.2-08262020-W,R2007848,E351.2,9/4/2020 13:24,initial,WS,1,METHOD,9/3/2020 13:42,ALSRNY,quant,R2007848-005,20,mL,20,mL,KN,0.41,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.1,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
431,121,13-SAW-0.2-08262020-W,R2007848,E365.1,8/31/2020 15:54,initial,WS,1,METHOD,8/29/2020 11:39,ALSRNY,quant,R2007848-005,20,mL,20,mL,7723-14-0,0.0918,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0036,NA,0.005,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
432,162,13-SAW-0.2-08262020-W,R2007848,E180.1,8/27/2020 10:10,initial,WS,1,,,ALSRNY,quant,R2007848-005,NA,,NA,,TURB,3.6,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.06,NA,1,ntu,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
433,6,13-SAW-1.4-08262020-W,R2007848,SM 2320 B,8/30/2020 20:34,initial,WS,1,,,ALSRNY,quant,R2007848-006,0,mL,NA,,ALK,162,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,1.8,NA,2,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
434,98,13-SAW-1.4-08262020-W,R2007848,E350.1,8/30/2020 16:42,initial,WS,1,,,ALSRNY,quant,R2007848-006,10,mL,10,mL,7664-41-7,0.019,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.003,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
435,27,13-SAW-1.4-08262020-W,R2007848,E300.0,9/4/2020 23:35,initial,WS,50,,,ALSRNY,quant,R2007848-006,10,mL,10,mL,16887-00-6,230,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,3,NA,10,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
436,31,13-SAW-1.4-08262020-W,R2007848,SM10200H,8/28/2020 13:00,initial,WS,4,METHOD,8/27/2020 13:00,ALSRNY,quant,R2007848-006,1054,mL,1054,mL,479-61-8,6.23,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.15,ug/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
437,66,13-SAW-1.4-08262020-W,R2007848,SM2340B,9/8/2020 21:01,initial,WS,1,,9/8/2020 0:00,ALSRNY,quant,R2007848-006,0,mL,NA,,HARD,271,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,6.62,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
438,100,13-SAW-1.4-08262020-W,R2007848,Calculation,8/27/2020 22:20,initial,WS,1,,,ALSRNY,quant,R2007848-006,0,mL,NA,,14797-55-8,0.495,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
439,101,13-SAW-1.4-08262020-W,R2007848,E353.2,9/1/2020 20:18,initial,WS,1,,,ALSRNY,quant,R2007848-006,10,mL,10,mL,NO3NO2N,0.507,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.0015,NA,0.002,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
440,102,13-SAW-1.4-08262020-W,R2007848,E353.2,8/27/2020 22:20,initial,WS,1,,,ALSRNY,quant,R2007848-006,10,mL,10,mL,14797-65-0,0.012,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,0.007,NA,0.01,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
441,103,13-SAW-1.4-08262020-W,R2007848,Calculation,9/4/2020 13:35,initial,WS,1,,9/3/2020 0:00,ALSRNY,quant,R2007848-006,0,mL,NA,,7727-37-9,0.92,TRG,Yes,Y,AE,0,Y,3/2/2023,A,,NA,NA,0.1,mg/l,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA
