"","CHEM_PARAMETER_NAME","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_UNIT","mean","sd","n","q95","q75","q25"
"36","DICHLOROBIPHENYL, 2,5- (IUPAC 9)","TOTAL","pg/L",83.35,49.0046645010161,8,143.5,121,47.775
"37","DICHLOROBIPHENYL, 2,6- (IUPAC 10)","TOTAL","pg/L",348.625,142.012009049537,8,532,422.75,249
"38","DICHLOROBIPHENYL, 3,3'- (IUPAC 11)","TOTAL","pg/L",112.4125,100.45248254772,8,268.45,115,58.95
"39","DICHLOROBIPHENYL, 3,5- (IUPAC 14)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"40","DICHLOROBIPHENYL, 4,4'- (IUPAC 15)","TOTAL","pg/L",1844.625,716.825728472409,8,2687,2327.5,1489.75
"41","FLUORIDE","TOTAL","mg/L",0.148798646362098,0.0777964209768587,1920,0.28,0.15,0.11
"42","GRAVEL, FINE","TOTAL","%",11.5442857142857,10.5615384882173,7,27.805,13.94,4.99
"43","GRAVEL, MEDIUM","TOTAL","%",8.10285714285714,10.3482006717524,7,23.807,12.545,1.035
"44","HARDNESS (AS CACO3)","TOTAL","mg/L",132.453467879477,109.527295812136,3545,316.449999999999,185,50.525
"45","HEPTACHLOROBIPHENYL, 2,2',3,3',4',5,6- (IUPAC 177)","TOTAL","pg/L",55.775,26.8366354075916,8,93.665,72.45,36.925
"46","HEPTACHLOROBIPHENYL, 2,2',3,3',4,4',5- (IUPAC 170)","TOTAL","pg/L",83.8625,34.5437584810918,8,129.55,106.75,59.875
"47","HEPTACHLOROBIPHENYL, 2,2',3,3',4,5',6- (IUPAC 175)","TOTAL","pg/L",4.28428571428571,2.44652036671717,8,7.35,6.22,1.995
"48","HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,5'- (IUPAC 172)","TOTAL","pg/L",14.06625,7.20927366561391,8,25.235,15.75,9.4025
"49","HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,6'- (IUPAC 174)","TOTAL","pg/L",86.0625,41.5843699174169,8,147.7,100.725,58.05
"50","HEPTACHLOROBIPHENYL, 2,2',3,3',4,6,6'- (IUPAC 176)","TOTAL","pg/L",12.22,6.01351572946903,8,21.035,14.875,8.9575
"51","HEPTACHLOROBIPHENYL, 2,2',3,3',5,5',6- (IUPAC 178)","TOTAL","pg/L",29.5375,14.2791493844296,8,47.13,42.225,20.4
"52","HEPTACHLOROBIPHENYL, 2,2',3,3',5,6,6'- (IUPAC 179)","TOTAL","pg/L",44.15,21.7540144078545,8,76.645,52.05,32.8
"53","HEPTACHLOROBIPHENYL, 2,2',3,4',5,5',6- (IUPAC 187)","TOTAL","pg/L",137.2875,67.8139353040993,8,233.75,173.25,96.6
"54","HEPTACHLOROBIPHENYL, 2,2',3,4',5,6,6'- (IUPAC 188)","TOTAL","pg/L",0.595,0.0919238815542512,8,0.6535,0.6275,0.5625
"55","HEPTACHLOROBIPHENYL, 2,2',3,4,4',5',6- (IUPAC 183)","TOTAL","pg/L",52.3625,26.5704420899831,8,91.835,64,36.525
"56","HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6'- (IUPAC 182)","TOTAL","pg/L",0.915,0.544472221513642,8,1.2615,1.1075,0.7225
"57","HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6- (IUPAC 181)","TOTAL","pg/L",1.0075,0.448878231446644,8,1.5165,1.2225,0.73
"58","HEPTACHLOROBIPHENYL, 2,2',3,4,4',6,6'- (IUPAC 184)","TOTAL","pg/L",0.415,0.233345237791561,8,0.5635,0.4975,0.3325
"59","HEPTACHLOROBIPHENYL, 2,2',3,4,5,5',6- (IUPAC 185)","TOTAL","pg/L",7.37875,4.26303191067444,8,14.005,8.455,4.1
"60","HEPTACHLOROBIPHENYL, 2,2',3,4,5,6,6'- (IUPAC 186)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"61","HEPTACHLOROBIPHENYL, 2,3,3',4,4',5',6- (IUPAC 191)","TOTAL","pg/L",3.285,1.81490653045431,8,5.86,4.6025,1.725
"62","HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,5'- (IUPAC 189)","TOTAL","pg/L",3.44,1.78511437542062,8,5.841,4.685,2.1
"63","HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,6- (IUPAC 190)","TOTAL","pg/L",18.54125,8.84412062575229,8,30.09,24.35,12.5075
"64","HEPTACHLOROBIPHENYL, 2,3,3',4,5,5',6- (IUPAC 192)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"65","HEXACHLOROBIPHENYL, 2,2',3,3',4,5'- (IUPAC 130)","TOTAL","pg/L",43.975,19.7166898120059,8,71.37,54.775,30.275
"66","HEXACHLOROBIPHENYL, 2,2',3,3',4,6'- (IUPAC 132)","TOTAL","pg/L",235.5,106.604743930894,8,389.7,275,169.75
"67","HEXACHLOROBIPHENYL, 2,2',3,3',4,6- (IUPAC 131)","TOTAL","pg/L",9.47571428571429,6.52361826275076,8,19.8,10.9,5.71
"68","HEXACHLOROBIPHENYL, 2,2',3,3',5,5'- (IUPAC 133)","TOTAL","pg/L",14.7925,7.39473316431557,8,26.59,15.9,10.9075
"69","HEXACHLOROBIPHENYL, 2,2',3,3',6,6'- (IUPAC 136)","TOTAL","pg/L",76.3875,35.2278882015777,8,126.15,96.725,56.775
"70","HEXACHLOROBIPHENYL, 2,2',3,4',5,5'- (IUPAC 146)","TOTAL","pg/L",89.8625,41.8701372443075,8,149.35,108.25,62.875
"71","HEXACHLOROBIPHENYL, 2,2',3,4',5,6'- (IUPAC 148)","TOTAL","pg/L",3.64125,2.27440062748094,8,7.1975,4.5125,2.1375
"72","HEXACHLOROBIPHENYL, 2,2',3,4',6,6'- (IUPAC 150)","TOTAL","pg/L",2.274,1.50095969299645,8,4.26,2.1,1.5
"73","HEXACHLOROBIPHENYL, 2,2',3,4,5',6- (IUPAC 144)","TOTAL","pg/L",21.29875,9.75111779306792,8,35.2,25.8,15.8
"74","HEXACHLOROBIPHENYL, 2,2',3,4,5,5'- (IUPAC 141)","TOTAL","pg/L",89.1,42.2333652798015,8,153.25,100.975,63.975
"75","HEXACHLOROBIPHENYL, 2,2',3,4,5,6- (IUPAC 142)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"76","HEXACHLOROBIPHENYL, 2,2',3,4,6,6'- (IUPAC 145)","TOTAL","pg/L",0.61,0.197989898732233,8,0.736,0.68,0.54
"77","HEXACHLOROBIPHENYL, 2,2',3,5,6,6'- (IUPAC 152)","TOTAL","pg/L",2.49333333333333,1.21521465867832,8,3.85,3.51,1.5
"78","HEXACHLOROBIPHENYL, 2,2',4,4',5,6'- (IUPAC 154)","TOTAL","pg/L",13.6685714285714,5.95089749133531,8,22.44,16.6,10.08
"79","HEXACHLOROBIPHENYL, 2,2',4,4',6,6'- (IUPAC 155)","TOTAL","pg/L",0.773333333333333,0.24704925284917,8,0.981,0.905,0.66
"80","HEXACHLOROBIPHENYL, 2,3',4,4',5,5'- (IUPAC 167)","TOTAL","pg/L",22.15,9.32262991711183,8,35.855,27.7,17.025
"81","HEXACHLOROBIPHENYL, 2,3,3',4',5,5'- (IUPAC 162)","TOTAL","pg/L",2.54125,2.2053275590844,8,6.095,2.52,1.38
"82","HEXACHLOROBIPHENYL, 2,3,3',4,4',6- (IUPAC 158)","TOTAL","pg/L",63.9125,28.7579274784735,8,101.135,86.175,43.95
"83","HEXACHLOROBIPHENYL, 2,3,3',4,5',6- (IUPAC 161)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"84","HEXACHLOROBIPHENYL, 2,3,3',4,5,5'- (IUPAC 159)","TOTAL","pg/L",3.57875,2.93781472478148,8,8.185,3.25,2.175
"85","HEXACHLOROBIPHENYL, 2,3,3',4,5,6- (IUPAC 160)","TOTAL","pg/L",0.42,NA,8,0.42,0.42,0.42
"86","HEXACHLOROBIPHENYL, 2,3,3',5,5',6- (IUPAC 165)","TOTAL","pg/L",1.96166666666667,1.11607198095224,8,3.5925,2.2275,1.2
"87","HEXACHLOROBIPHENYL, 3,3',4,4',5,5'- (IUPAC 169)","TOTAL","pg/L",0.826666666666667,0.417891532976361,8,1.117,1.065,0.675
"88","IRON","TOTAL","µg/L",655.30398660986,2198.2298133479,3334,1757.5,577.75,148.25
"89","LEAD","DISSOLVED","µg/L",0.252197431781701,0.508078630766563,1799,0.85,0.2355,0.0805
"90","LEAD","TOTAL","µg/L",1.22284538026398,2.83283340901782,2831,3.9,1.1,0.336
"91","LOWER BOUND PCB TEQ (WHO 2005)","TOTAL","pg/L",0.195375,0.182260729646922,8,0.4906,0.26275,0.0698
"92","MAGNESIUM","TOTAL","µg/L",8406.50800457404,7037.34447806201,3503,21700,12500,3040
"93","MANGANESE","TOTAL","µg/L",65.4550127863612,102.005813650889,1877,208,71.4,21.6
"94","MERCURY","TOTAL","ng/L",2.39071976647206,4.29924190815575,1231,6.20999999999999,2.6,0.9955
"95","MERCURY","TOTAL","ppt",2.02688863636364,1.73267260710848,452,5.40999999999999,2.2,1.1
"96","METHYLENE CHLORIDE","TOTAL","µg/L",NA,NA,107,NA,NA,NA
"97","MID POINT PCB TEQ (WHO 2005)","TOTAL","pg/L",0.324625,0.1564197078376,8,0.51765,0.44325,0.1965
"98","MONOBROMOACETIC ACID","TOTAL","µg/L",NA,NA,48,NA,NA,NA
"99","MONOCHLOROACETIC ACID","TOTAL","µg/L",NA,NA,48,NA,NA,NA
"100","MONOCHLOROBIPHENYL","TOTAL","pg/L",793.65,471.612683096143,8,1432.5,1028.25,506
"101","MONOCHLOROBIPHENYL, 2- (IUPAC 1)","TOTAL","pg/L",678.025,406.43460816506,8,1218.5,929.5,431.25
"102","NICKEL","DISSOLVED","µg/L",1.5034576372315,2.18743587723396,1777,3.6,1.9,0.617
"103","NICKEL","TOTAL","µg/L",1.75941398271799,2.62354775183417,2708,3.9,2,0.74925
"104","NITROGEN, AMMONIA (AS N)","TOTAL","mg/L",0.045227125160188,0.0876336982650142,3306,0.124,0.0494,0.015
"105","NITROGEN, KJELDAHL, TOTAL","TOTAL","mg/L",0.49109108464757,0.482707339028837,3161,1.077,0.58,0.27
"106","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.692513251028807,1.78837438472858,3665,1.98,0.686,0.126
"107","NITROGEN, NITRATE (AS N)","TOTAL","mg/L",0.653995973985754,1.65657727216628,3346,1.92,0.671,0.136
"108","NITROGEN, NITRITE","TOTAL","mg/L",0.024882096069869,0.0288442826370772,3605,0.06125,0.025,0.013
"109","NITROGEN, TOTAL","TOTAL","mg/L",1.32569383259912,2.38344380399789,1822,3.265,1.31,0.52
"110","NONACHLOROBIPHENYL","TOTAL","pg/L",85.2625,34.0802807458255,8,128.5,107,59.9
"111","NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,5',6- (IUPAC 206)","TOTAL","pg/L",57.7125,23.4454039053652,8,86.545,74.075,39
"112","NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,6,6'- (IUPAC 207)","TOTAL","pg/L",6.3875,3.79696401277201,8,12.285,7.5775,4.425
"113","NONACHLOROBIPHENYL, 2,2',3,3',4,5,5',6,6'- (IUPAC 208)","TOTAL","pg/L",21.175,7.2812381207751,8,29.775,26,16.475
"114","OCTACHLOROBIPHENYL","TOTAL","pg/L",247.625,117.022510044619,8,413.35,294,175.25
"115","OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,5'- (IUPAC 194)","TOTAL","pg/L",51.1375,25.5155939714185,8,88.425,56.875,36.025
"116","OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6'- (IUPAC 196)","TOTAL","pg/L",26.6,14.161012877414,8,47.405,30.875,16.6
"117","OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6- (IUPAC 195)","TOTAL","pg/L",20.085,9.50251545644626,8,33.61,25.025,13.375
"118","OCTACHLOROBIPHENYL, 2,2',3,3',4,4',6,6'- (IUPAC 197)","TOTAL","pg/L",1.75428571428571,1.18109916522502,8,3.52,2.105,1.045
"119","OCTACHLOROBIPHENYL, 2,2',3,3',4,5',6,6'- (IUPAC 201)","TOTAL","pg/L",8.39125,3.66731290300834,8,12.72,11.825,6.25
"120","OCTACHLOROBIPHENYL, 2,2',3,3',4,5,6,6'- (IUPAC 200)","TOTAL","pg/L",6.465,2.56284997610083,8,9.195,8.9325,4.2625
"121","OCTACHLOROBIPHENYL, 2,2',3,3',5,5',6,6'- (IUPAC 202)","TOTAL","pg/L",15.6,5.32943309769971,8,22.52,18.25,12.675
"122","OCTACHLOROBIPHENYL, 2,2',3,4,4',5,5',6- (IUPAC 203)","TOTAL","pg/L",41.975,21.3525341420103,8,73.105,47.725,28.775
"123","OCTACHLOROBIPHENYL, 2,2',3,4,4',5,6,6'- (IUPAC 204)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"124","OCTACHLOROBIPHENYL, 2,3,3',4,4',5,5',6- (IUPAC 205)","TOTAL","pg/L",2.94375,1.75758712444078,8,5.705,3.55,1.645
"125","PCB 100/93/102/98","TOTAL","pg/L",193.0375,98.24639488115,8,339.1,226.75,123.75
"126","PCB 108/124","TOTAL","pg/L",37.3,18.9925549323187,8,65.84,42.6,25.8
"127","PCB 109/119/86/97/125/87","TOTAL","pg/L",959.25,407.452977129176,8,1533.5,1137.5,676.25
"128","PCB 113/90/101","TOTAL","pg/L",1336.375,586.840922105082,8,2183.5,1530,966.25
"129","PCB 117/116/85/110/115","TOTAL","pg/L",2420.75,1057.52754101253,8,3824,3062.5,1620
"130","PCB 128/166","TOTAL","pg/L",114.0125,55.5940499771076,8,191.3,147.25,72.625
"131","PCB 13/12","TOTAL","pg/L",536.25,314.489949873487,8,955.15,717.5,240.75
"132","PCB 134/143","TOTAL","pg/L",42.8875,20.1599629747392,8,73.245,53.175,30.25
"133","PCB 137/164","TOTAL","pg/L",73.5125,35.8506201380913,8,127,83.675,48.85
"134","PCB 138/163/129","TOTAL","pg/L",712.25,300.868148625179,8,1162.15,816.75,532.5
"135","PCB 139/140","TOTAL","pg/L",14.09125,6.89792813096802,8,24.25,17.4,8.8625
"136","PCB 147/149","TOTAL","pg/L",502.25,234.577279377181,8,840.5,602,368.5
"137","PCB 151/135","TOTAL","pg/L",215.6625,99.8737622844816,8,364.65,254,153.75
"138","PCB 156/157","TOTAL","pg/L",75,28.3053755621487,8,113,93.175,57.575
"139","PCB 168/153","TOTAL","pg/L",457,225.301068414181,8,796.15,527,332
"140","PCB 171/173","TOTAL","pg/L",24.175,11.6090789594056,8,41.13,29.35,15.5
"141","PCB 180/193","TOTAL","pg/L",193.0875,89.2986872003967,8,318.7,247.75,133.725
"142","PCB 198/199","TOTAL","pg/L",72.875,34.8735982821225,8,122.625,86.775,50.575
"143","PCB 21/33","TOTAL","pg/L",165.3375,110.767903261085,8,326.95,232,87.125
"144","PCB 28/20","TOTAL","pg/L",2360.125,1081.34842244037,8,3797,3102.5,1675
"145","PCB 29/26","TOTAL","pg/L",3053.75,1251.92352002828,8,4548,3980,2332.5
"146","PCB 30/18","TOTAL","pg/L",2402.5,894.359307788862,8,3350.5,2965,1855
"147","PCB 41/71/40","TOTAL","pg/L",1871,766.350908060866,8,2869,2282.5,1260
"148","PCB 44/47/65","TOTAL","pg/L",4213.75,1605.83700916376,8,6080.5,5132.5,2830
"149","PCB 45/51","TOTAL","pg/L",1172,442.174173827464,8,1707,1407.5,816.75
"150","PCB 50/53","TOTAL","pg/L",1418.875,533.981122593032,8,2062.5,1672.5,1045.25
"151","PCB 59/62/75","TOTAL","pg/L",302.5,112.034433482364,8,428.65,369.5,200
"152","PCB 61/70/74/76","TOTAL","pg/L",2482.625,1080.29003215406,8,3969.5,2947.5,1660
"153","PCB 69/49","TOTAL","pg/L",3523.75,1343.14064256662,8,5056.5,4262.5,2415
"154","PCB 83/99","TOTAL","pg/L",1033.25,492.751966003181,8,1737,1255,716.5
"155","PCB 88/91","TOTAL","pg/L",378.375,160.182875400052,8,605.9,433,275.5
"156","PENTACHLOROBIPHENYL, 2',3,3',4,5- (IUPAC 122)","TOTAL","pg/L",22.925,14.9805349894932,8,46.695,24.325,14.575
"157","PENTACHLOROBIPHENYL, 2',3,4,4',5- (IUPAC 123)","TOTAL","pg/L",23.9125,9.77335115797764,8,37.025,31.475,16.05
"158","PENTACHLOROBIPHENYL, 2,2',3,3',4- (IUPAC 82)","TOTAL","pg/L",201.925,95.1043900143416,8,337.8,245.75,122.75
"159","PENTACHLOROBIPHENYL, 2,2',3,3',6- (IUPAC 84)","TOTAL","pg/L",555.25,209.571501606765,8,791.6,717.5,371.75
"160","PENTACHLOROBIPHENYL, 2,2',3,4,6'- (IUPAC 89)","TOTAL","pg/L",37.4625,16.950595227644,8,62.52,41.575,27.5
"161","PENTACHLOROBIPHENYL, 2,2',3,5',6- (IUPAC 95)","TOTAL","pg/L",1352.625,593.457890550916,8,2202.5,1545,1002.5
"162","PENTACHLOROBIPHENYL, 2,2',3,5,5'- (IUPAC 92)","TOTAL","pg/L",397.625,191.537342498607,8,690.15,434.75,289
"163","PENTACHLOROBIPHENYL, 2,2',3,5,6'- (IUPAC 94)","TOTAL","pg/L",42.9125,19.8752852630022,8,72.155,47,31.65
"164","PENTACHLOROBIPHENYL, 2,2',3,6,6'- (IUPAC 96)","TOTAL","pg/L",31.2625,11.7875160960351,8,47.47,39,22.45
"165","PENTACHLOROBIPHENYL, 2,2',4,5',6- (IUPAC 103)","TOTAL","pg/L",35.2625,17.3739490946318,8,61.435,37.45,26.65
"166","PENTACHLOROBIPHENYL, 2,2',4,6,6'- (IUPAC 104)","TOTAL","pg/L",6.09714285714286,2.5788997284741,8,9.74,6.75,4.1
"167","PENTACHLOROBIPHENYL, 2,3',4,4',5- (IUPAC 118)","TOTAL","pg/L",1170.25,463.757864777361,8,1819.5,1367.5,847
"168","PENTACHLOROBIPHENYL, 2,3',4,5',6- (IUPAC 121)","TOTAL","pg/L",1.47,0.74953318805774,8,1.947,1.735,1.205
"169","PENTACHLOROBIPHENYL, 2,3',4,5,5'- (IUPAC 120)","TOTAL","pg/L",3.48,1.85256578830551,8,5.84,3.6,2.2
"170","PENTACHLOROBIPHENYL, 2,3,3',4',5- (IUPAC 107)","TOTAL","pg/L",94.475,44.2396638452742,8,156.85,120.75,68.3
"171","PENTACHLOROBIPHENYL, 2,3,3',4,4'- (IUPAC 105)","TOTAL","pg/L",474.625,176.305690289824,8,707.8,579.75,337.25
"172","PENTACHLOROBIPHENYL, 2,3,3',4,5- (IUPAC 106)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"173","PENTACHLOROBIPHENYL, 2,3,3',5,5'- (IUPAC 111)","TOTAL","pg/L",3.1,1.13137084989848,8,3.82,3.5,2.7
"174","PENTACHLOROBIPHENYL, 2,3,3',5,6- (IUPAC 112)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"175","PENTACHLOROBIPHENYL, 2,3,4,4',5- (IUPAC 114)","TOTAL","pg/L",33.1625,13.087173382471,8,51.68,37.7,23.025
"176","PENTACHLOROBIPHENYL, 3,3',4,4',5- (IUPAC 126)","TOTAL","pg/L",2.414,1.4332585251796,8,4.234,3.17,1.65
"177","PENTACHLOROBIPHENYL, 3,3',4,5,5'- (IUPAC 127)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"178","PHENOLICS, TOTAL RECOVERABLE","TOTAL","mg/L",0.00345195530726257,0.00236223424953512,396,0.00682,0.0036,0.0023
"179","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED","mg/L",0.0571580142764439,0.22294460944125,2412,0.147,0.0304,0.0079
"180","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.0451996648044693,0.0706097745157015,898,0.1656,0.04665,0.0129
"181","PHOSPHORUS, TOTAL (AS P)","TOTAL","mg/L",0.0835091095890411,0.246361946396558,2967,0.241,0.0655,0.0139
"182","POLYCHLORINATED BIPHENYLS (PCBS), TOTAL,  (TOTAL IUPACS)","TOTAL","pg/L",80425,30166.9994719869,8,115950,99525,57450
"183","POTASSIUM","TOTAL","µg/L",2159.789500772,3167.78779308388,1949,5270,2590,832.5
"184","SAND, COARSE","TOTAL","%",25.1242857142857,12.1380048568437,7,42.462,30.28,17.63
"185","SAND, FINE","TOTAL","%",14.3942857142857,12.114271001788,7,27.401,26.645,4.81
"186","SAND, MEDIUM","TOTAL","%",11.8185714285714,7.97081432178551,7,22.45,15.905,6.68
"187","SAND, VERY COARSE","TOTAL","%",18.28,9.20232579297212,7,30.334,23.855,11.275
"188","SAND, VERY FINE","TOTAL","%",2.98571428571429,3.28376743564896,7,8.088,4.135,1.03
"189","SILT","TOTAL","%",8.23333333333333,9.53754196146296,6,22.26,11.5975,2.565
"190","SILVER","TOTAL","µg/L",0.108058823529412,0.134335344139204,3442,0.2555,0.13,0.04425
"191","SODIUM","TOTAL","µg/L",35750.8415015641,87329.2633298118,1918,116150,30950,8255
"192","SULFATE (AS SO4)","TOTAL","mg/L",23.4630855397149,45.9539177541423,1969,81.57,22.4,5.4
"193","TETRACHLOROBIPHENYL","TOTAL","pg/L",26450,10377.9987060539,8,39325,31850,17800
"194","TETRACHLOROBIPHENYL, 2,2',3,4'- (IUPAC 42)","TOTAL","pg/L",944.5,341.7496995505,8,1336,1150,657
"195","TETRACHLOROBIPHENYL, 2,2',3,5- (IUPAC 43)","TOTAL","pg/L",163.4125,60.5280675743552,8,239.85,201.75,109.75
"196","TETRACHLOROBIPHENYL, 2,2',3,6'- (IUPAC 46)","TOTAL","pg/L",351,128.585713492152,8,482.5,448.75,253.25
"197","TETRACHLOROBIPHENYL, 2,2',4,5- (IUPAC 48)","TOTAL","pg/L",272.375,100.679033850861,8,388.85,341.25,190.75
"198","TETRACHLOROBIPHENYL, 2,2',5,5'- (IUPAC 52)","TOTAL","pg/L",5506.25,2220.55293950468,8,8341,6687.5,3677.5
"199","TETRACHLOROBIPHENYL, 2,2',6,6'- (IUPAC 54)","TOTAL","pg/L",136.225,52.1249803014694,8,198.45,172.5,100.275
"200","TETRACHLOROBIPHENYL, 2,3',4,4'- (IUPAC 66)","TOTAL","pg/L",1530,695.741331243157,8,2486.5,1862.5,1021
"201","TETRACHLOROBIPHENYL, 2,3',4,5'- (IUPAC 68)","TOTAL","pg/L",66.725,29.2597602763347,8,106.7,77.875,45.525
"202","TETRACHLOROBIPHENYL, 2,3',4,5- (IUPAC 67)","TOTAL","pg/L",53.3625,24.4849188277192,8,88.1,60.525,36.425
"203","TETRACHLOROBIPHENYL, 2,3',5',6- (IUPAC 73)","TOTAL","pg/L",30,0.848528137423859,8,30.54,30.3,29.7
"204","TETRACHLOROBIPHENYL, 2,3',5,5'- (IUPAC 72)","TOTAL","pg/L",91.3625,41.6730792684472,8,151,106.75,63.85
"205","TETRACHLOROBIPHENYL, 2,3,3',4'- (IUPAC 56)","TOTAL","pg/L",579.25,240.500519749958,8,902.75,726.75,392.25
"206","TETRACHLOROBIPHENYL, 2,3,3',4- (IUPAC 55)","TOTAL","pg/L",7.95,3.18198051533946,8,9.975,9.075,6.825
"207","TETRACHLOROBIPHENYL, 2,3,3',5'- (IUPAC 58)","TOTAL","pg/L",16.6328571428571,9.31732564327646,8,29.9,21.95,8.85
"208","TETRACHLOROBIPHENYL, 2,3,3',5- (IUPAC 57)","TOTAL","pg/L",47.675,22.768446210867,8,81.4,53.05,32.975
"209","TETRACHLOROBIPHENYL, 2,3,4',5- (IUPAC 63)","TOTAL","pg/L",138.55,64.2282981692204,8,229.2,164.5,96.725
"210","TETRACHLOROBIPHENYL, 2,3,4',6- (IUPAC 64)","TOTAL","pg/L",1217.375,448.404453112844,8,1723.5,1502.5,825.5
